system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
00000000000000009f81_0,Artificial land,1,36962850,982000,1074000,1218000,1433000,1195000,163,-125,-178,-64,34,405,188,44,-30,87,141,257,50,95,27,-5,1390000,1120000,LUCAS_point,1368000,1121000,0.9573795650421038,
00000000000000009fb0_0,Artificial land,1,37502872,1322000,1487000,1595000,1422000,1231000,174,-147,-219,-86,-3,332,100,11,-59,57,84,136,15,67,20,18,1340000,1190000,LUCAS_point,1512000,1198000,0.95365407698848,
00000000000000009fe4_0,Artificial land,1,36782918,2177000,2354000,2493000,1995000,1959000,88,-278,-294,-245,-196,38,69,4,-43,30,52,77,3,33,118,7,2240000,2019000,LUCAS_point,3056000,2885000,0.9497760336961754,
00000000000000009fef_0,Artificial land,1,35922814,1206000,1445000,1594000,1356000,1193000,148,-185,-216,-156,-30,224,142,37,18,132,155,176,69,155,77,31,1599000,1221000,LUCAS_point,1636000,1311000,0.9490783834162442,
00000000000000009ff1_0,Artificial land,1,36702954,1303000,1585000,1798000,1482000,1305000,50,-181,-203,-109,-22,95,177,63,27,120,188,276,72,184,60,60,1743000,1315000,LUCAS_point,1682000,1304000,0.948819034645228,
00000000000000009ff8_0,Artificial land,1,37162788,949000,1144000,1219500,1274500,1004500,135,-135,-157,-97,-53,375,84,19,-68,53,80,110,51,49,139,-12,1093500,937000,LUCAS_point,1254500,1005500,0.9486140891628696,
0000000000000000a054_0,Artificial land,1,36862886,1251000,1521000,1699000,1340000,1165000,142,-199,-264,-152,-78,286,187,53,-48,107,151,255,59,116,65,54,1530000,1168000,LUCAS_point,1690000,1200000,0.9425122675122675,
0000000000000000a078_0,Artificial land,1,37482872,1327000,1515000,1604000,1394000,1260000,174,-178,-231,-150,-113,472,154,53,10,96,151,203,58,131,124,32,1594000,1214000,LUCAS_point,1619000,1316000,0.9400250138431631,
0000000000000000a095_0,Artificial land,1,36862948,1294000,1572000,1786000,1332000,1104000,81,-317,-353,-275,-215,-3,190,104,25,134,167,217,122,149,101,87,1468000,1153000,LUCAS_point,1936000,1379000,0.9385882049296683,
0000000000000000a0e2_0,Artificial land,1,36782960,1546000,1724000,1800000,1626000,1530000,158,-107,-131,-95,-74,-45,60,20,-4,33,45,83,22,39,9,-77,1747000,1637000,LUCAS_point,1874000,1541000,0.9330557397245459,
0000000000000000a100_0,Artificial land,1,37442886,1024000,1423000,1526500,1205500,962000,142,-216,-248,-184,-93,481,239,53,-55,191,225,296,133,216,96,-7,1348000,872000,LUCAS_point,1430000,1087500,0.9314269833890212,
0000000000000000a159_0,Artificial land,1,37522882,1460000,1723000,1924000,1543000,1432000,176,-190,-234,-149,-64,452,113,48,17,64,98,145,52,85,43,41,1735000,1458000,LUCAS_point,1849000,1458000,0.9259184347797493,
0000000000000000a188_0,Artificial land,1,37302908,1277000,1563500,1745000,1299500,1141500,127,-232,-274,-170,-106,75,229,105,36,163,261,335,162,197,94,66,1631500,1087500,LUCAS_point,1609000,1338000,0.9234657317613505,
0000000000000000a194_0,Artificial land,1,36842878,1253000,1513500,1673000,1270500,1133000,151,-353,-379,-327,-284,-13,205,96,62,112,143,231,106,108,103,94,1533000,1117000,LUCAS_point,2290500,1810000,0.9228539424037558,
0000000000000000a1eb_0,Artificial land,1,35982880,1493500,1889500,2122500,1377000,1294000,88,-283,-321,-247,-145,67,196,129,81,168,196,214,148,190,125,127,1827500,1290500,LUCAS_point,2174500,1585000,0.9169210755848131,
