system:index,LC,LC_num,POINT_ID,asc_dpol_median,asc_vh_median,asc_vh_stDev,asc_vv_median,asc_vv_stDev,desc_dpol_median,desc_vh_median,desc_vh_stDev,desc_vv_median,desc_vv_stDev,source,votes,.geo
00000000000000009e3e_0,Artificial land,1,36162986,2463,-11614,1845,-4716,2126,-1366,-12200,2081,8934,1832,LUCAS_point,0.9865390390390391,
00000000000000009e97_0,Artificial land,1,37283102,-579,-3895,2461,6731,2550,-2411,-9154,2005,3798,1704,LUCAS_point,0.9753946397696398,
00000000000000009ee3_0,Artificial land,1,36742966,-2193,-14437,3459,6584,7432,-1817,-11386,3534,6266,6390,LUCAS_point,0.9686336670812478,
00000000000000009f2e_0,Artificial land,1,37303098,4142,-11431,2335,-2759,4878,-6007,-8513,1935,1417,1824,LUCAS_point,0.9630594895300778,
00000000000000009fe7_0,Artificial land,1,37523122,-4568,-12469,1636,2729,3143,1137,-7286,2094,-6410,2171,LUCAS_point,0.9494362565272352,
00000000000000009ffb_0,Artificial land,1,36323202,-437,-3080,5601,7051,2559,3304,-10024,3020,-3034,2722,LUCAS_point,0.9484723128235549,
0000000000000000a089_0,Artificial land,1,36742962,1494,-11528,1680,-7718,2545,2077,-8946,1304,-4307,1589,LUCAS_point,0.9391119224898878,
0000000000000000a0f9_0,Artificial land,1,36383198,2318,-12288,2222,-5302,2244,1898,-11658,1763,-6142,2790,LUCAS_point,0.9316448006105289,
0000000000000000a177_0,Artificial land,1,37583014,1422,-8506,1898,-5981,1764,2764,-10045,2423,-3634,2053,LUCAS_point,0.9244684107109336,
0000000000000000a223_0,Artificial land,1,36303208,2611,-11082,1950,-4245,1806,5592,-11498,2145,-2056,2533,LUCAS_point,0.9137624277382226,
0000000000000000a2f2_0,Artificial land,1,36503198,1937,-15351,2898,-7927,1881,1538,-13489,1688,-8770,1787,LUCAS_point,0.8997786056093576,
0000000000000000a34f_0,Artificial land,1,36723202,1261,-11167,2006,-8858,2332,3392,-13107,1838,-3864,3380,LUCAS_point,0.8936573793690724,
0000000000000000a355_0,Artificial land,1,36383204,2236,-15039,2302,-6727,2145,11482,-11013,2392,-959,2798,LUCAS_point,0.8934404748878433,
0000000000000000a36c_0,Artificial land,1,36423212,2200,-13842,2020,-6291,2170,7399,-14869,2039,-2010,3768,LUCAS_point,0.8919961749596576,
0000000000000000a37a_0,Artificial land,1,36623184,5633,-11518,2253,-2045,3880,13577,-13450,2159,-991,2088,LUCAS_point,0.8909681272181272,
0000000000000000a3ee_0,Artificial land,1,36722970,174,2713,2870,15564,2343,1478,-13352,1281,-9031,1863,LUCAS_point,0.8833737744538399,
0000000000000000a401_0,Artificial land,1,37183032,-4937,-4203,1530,851,2400,2617,-8289,1845,-3167,1797,LUCAS_point,0.8821592160131071,
0000000000000000a460_0,Artificial land,1,36742964,1596,-17285,2110,-10833,1536,2144,-18366,2153,-8568,2006,LUCAS_point,0.8753247390353786,
0000000000000000a496_0,Artificial land,1,36722966,3204,-14154,2040,-4417,3345,20683,-12218,1911,-591,1874,LUCAS_point,0.871176338549624,
0000000000000000a498_0,Artificial land,1,37563060,13591,-14999,1498,-1104,1499,1689,-10393,2380,-6154,2108,LUCAS_point,0.87104846263128,
0000000000000000a519_0,Artificial land,1,37403110,2199,-13103,2397,-5957,1978,9148,-13200,2659,-1443,2871,LUCAS_point,0.8613947158620321,
0000000000000000a595_0,Artificial land,1,37203026,-366,-4466,4104,12195,7006,6853,-10769,2305,-1571,3270,LUCAS_point,0.8535081119291645,
0000000000000000a5eb_0,Artificial land,1,37523124,-9879,-11918,1566,1206,1389,6378,-12920,2586,-2026,1861,LUCAS_point,0.8483913997928554,
0000000000000000a5f5_0,Artificial land,1,36283142,2061,-14645,2067,-7106,1734,2386,-15592,2017,-6534,3107,LUCAS_point,0.8477071866550066,
0000000000000000a6a6_0,Artificial land,1,37343102,9860,-13783,1887,-1398,2998,1742,-14121,13371,-8106,15499,LUCAS_point,0.8350784562549268,
0000000000000000a6b6_0,Artificial land,1,36383126,541913,-6935,2610,-13,2257,1768,-10256,4327,-5801,3177,LUCAS_point,0.8337273508665924,
0000000000000000613e_0,Woodland,3,36303148,1847,-13055,2116,-7069,1684,1727,-13920,2401,-8060,1857,LUCAS_point,1,
0000000000000000613f_0,Woodland,3,36323154,1770,-13143,1995,-7427,1837,1489,-15279,2241,-10261,2206,LUCAS_point,1,
00000000000000006153_0,Woodland,3,36462968,1830,-12092,2383,-6609,2033,1690,-15039,2367,-8899,1647,LUCAS_point,1,
00000000000000006168_0,Woodland,3,36583138,1654,-14377,2338,-8691,2039,1713,-12249,2354,-7151,1728,LUCAS_point,1,
00000000000000006169_0,Woodland,3,36583158,1680,-13821,2488,-8227,2035,1675,-13244,2170,-7909,1998,LUCAS_point,1,
00000000000000006196_0,Woodland,3,36822996,1788,-13351,2188,-7466,1946,1724,-14056,2467,-8154,1995,LUCAS_point,1,
000000000000000061c3_0,Woodland,3,36982984,1619,-14413,2214,-8903,1909,1890,-13971,2596,-7394,1668,LUCAS_point,1,
000000000000000061ca_0,Woodland,3,37022958,1759,-13627,2585,-7748,1741,1691,-13820,2164,-8173,1929,LUCAS_point,1,
000000000000000061de_0,Woodland,3,37102960,1667,-13217,2157,-7930,2138,1818,-12588,2309,-6925,1904,LUCAS_point,1,
000000000000000061df_0,Woodland,3,37102962,1692,-13141,2555,-7768,1846,1682,-13621,2110,-8098,2002,LUCAS_point,1,
00000000000000006205_0,Woodland,3,37243008,1791,-12901,2052,-7201,1858,1768,-14224,2319,-8045,2061,LUCAS_point,1,
00000000000000006237_0,Woodland,3,37362958,1608,-13593,2424,-8455,1655,1803,-13000,2258,-7210,2088,LUCAS_point,1,
00000000000000006238_0,Woodland,3,37363000,1627,-12849,2237,-7898,1820,1774,-13612,2231,-7673,1890,LUCAS_point,1,
0000000000000000623f_0,Woodland,3,37402976,1576,-13357,2430,-8473,2016,1760,-13716,2118,-7791,1897,LUCAS_point,1,
0000000000000000624a_0,Woodland,3,37442958,1698,-13413,13726,-7898,15590,1691,-14283,2365,-8447,2146,LUCAS_point,1,
00000000000000006251_0,Woodland,3,37482986,1619,-13800,2298,-8524,1921,1752,-14225,2315,-8118,2116,LUCAS_point,1,
0000000000000000625a_0,Woodland,3,37502992,1729,-11850,2290,-6854,1764,1642,-14550,2287,-8860,1930,LUCAS_point,1,
0000000000000000625b_0,Woodland,3,37503024,1610,-13332,1968,-8281,1992,1872,-13528,2092,-7225,2115,LUCAS_point,1,
0000000000000000625f_0,Woodland,3,37522988,1678,-12710,2191,-7574,1531,1716,-13158,2425,-7668,1924,LUCAS_point,1,
00000000000000006262_0,Woodland,3,37543098,1568,-14526,2498,-9265,1899,1977,-12441,1876,-6293,1999,LUCAS_point,1,
00000000000000006275_0,Woodland,3,37663038,1719,-12244,1910,-7122,1601,1679,-13901,2328,-8280,1773,LUCAS_point,1,
00000000000000007cbc_0,Woodland,3,37202984,1671,-14469,1996,-8661,1578,1664,-14833,2187,-8914,1869,LUCAS_point,0.9978260869565218,
0000000000000000839c_0,Grassland,5,36263132,1515,-19485,1864,-12866,2489,1423,-19250,2823,-13528,2157,LUCAS_point,1,
0000000000000000839d_0,Grassland,5,36763162,1502,-20270,2674,-13496,2230,1506,-20070,3217,-13329,2312,LUCAS_point,1,
0000000000000000839f_0,Grassland,5,37603062,1594,-18528,2832,-11626,2014,1475,-19040,2345,-12909,1919,LUCAS_point,1,
000000000000000083a0_0,Grassland,5,37623096,1649,-19482,2254,-11816,2296,1417,-19090,2613,-13470,2543,LUCAS_point,1,
000000000000000083b8_0,Grassland,5,36963146,1518,-19598,2376,-12913,2198,1579,-18946,3068,-12000,1968,LUCAS_point,0.9978260869565218,
000000000000000083e0_0,Grassland,5,37123004,1640,-18409,2705,-11226,2139,1599,-19225,2710,-12024,2357,LUCAS_point,0.9974358974358974,
000000000000000083f7_0,Grassland,5,36223140,1452,-19599,2236,-13500,2090,1514,-20128,4683,-13296,2382,LUCAS_point,0.9972222222222222,
00000000000000008417_0,Grassland,5,37382974,1513,-18608,2437,-12296,2324,1596,-18513,2964,-11602,2130,LUCAS_point,0.996875,
0000000000000000842a_0,Grassland,5,37543050,1517,-18015,2382,-11874,1818,1543,-19164,2484,-12424,2204,LUCAS_point,0.9955555555555555,
00000000000000008495_0,Grassland,5,36343120,1737,-18981,2536,-10927,2311,1486,-21741,3126,-14633,1892,LUCAS_point,0.9943410852713178,
