system:index,LC,LC_num,POINT_ID,R1_median,R2_median,R3_median,blue_median,green_median,nbr_stdDev,ndsi_p25,ndsi_p5,ndsi_p50,ndsi_p75,ndsi_p95,ndvi_fall,ndvi_p25,ndvi_p5,ndvi_p50,ndvi_p75,ndvi_p95,ndvi_spring,ndvi_summer,ndvi_texture_sd,ndvi_winter,nir_median,red_median,source,swir1_median,swir2_median,votes,.geo
00000000000000009f1b_0,Artificial land,1,36443242,1447000,1615500,1745500,1391500,1197000,147,-215,-281,-173,-49,306,103,1,-55,73,115,194,37,116,19,-17,1299000,1210000,LUCAS_point,1643000,1217000,0.96385302918551,
00000000000000009f92_0,Artificial land,1,36403232,1089500,1194500,1250500,1410000,1173500,82,-46,-73,48,161,334,71,-7,-65,45,69,108,6,67,28,-18,1256000,1182000,LUCAS_point,1104000,951000,0.9565892564944423,
0000000000000000a0a7_0,Artificial land,1,36683280,984500,1226500,1284500,1272500,1036500,109,-193,-228,-149,-54,155,144,84,13,122,158,211,135,107,45,85,1298000,966500,LUCAS_point,1428000,1147500,0.9370666493456866,
0000000000000000a23c_0,Artificial land,1,36443288,1295000,1538000,1685500,1254000,1046500,88,-354,-398,-309,-222,-154,187,100,67,129,167,234,97,134,79,118,1611000,1186000,LUCAS_point,2086000,1655500,0.9119806350366686,
0000000000000000a494_0,Artificial land,1,36343228,1189000,1641500,1900500,1280500,1123500,92,-338,-360,-302,-260,118,254,174,148,211,252,293,211,190,86,240,1739000,1107500,LUCAS_point,2099000,1600000,0.8713297706254363,
0000000000000000a5d3_0,Artificial land,1,36443232,1027000,1322500,1474500,1176000,962500,105,-241,-271,-184,-86,287,233,84,2,124,190,283,89,163,79,83,1334500,928000,LUCAS_point,1433000,1045500,0.849916010710959,
0000000000000000a6c9_0,Artificial land,1,37363318,997000,1315000,1468000,1213000,972000,123,-272,-319,-146,27,293,269,114,2,188,254,327,175,217,63,82,1287000,868000,LUCAS_point,1263000,924000,0.8325758520572762,
000000000000000083d3_0,Grassland,5,36623390,1281000,3135000,3710000,1081000,1027000,130,-475,-495,-422,-373,23,710,538,358,684,726,762,710,529,47,537,3633000,716000,LUCAS_point,2556000,1223000,0.9975,
00000000000000008524_0,Grassland,5,36523222,1323000,2656500,3153500,1098000,1037500,127,-448,-521,-368,-236,-15,750,514,235,628,707,770,627,589,28,547,3183500,693000,LUCAS_point,2211500,1008500,0.9919706937799043,
000000000000000085ac_0,Grassland,5,37183328,1241000,2742500,3367000,1112500,1013500,103,-344,-392,-323,-252,-30,724,582,475,659,731,831,623,740,29,582,3253000,646000,LUCAS_point,1913000,866000,0.9899378881987577,
00000000000000008635_0,Grassland,5,36823348,1266000,2441000,2899000,1157000,1016000,149,-427,-469,-378,-342,-225,747,498,277,579,641,756,541,417,44,606,3026000,798000,LUCAS_point,2219000,1116000,0.9886759768009767,
00000000000000008679_0,Grassland,5,37483306,1265000,2831000,3474000,1122000,1052000,102,-408,-439,-365,-283,171,764,554,394,619,724,795,582,612,18,633,3375000,742000,LUCAS_point,2137000,1025000,0.9876041112883218,
000000000000000086bd_0,Grassland,5,36923262,1226500,2593500,3178500,1052500,964500,153,-420,-516,-378,-209,58,764,513,319,591,755,812,684,493,21,522,3135500,686000,LUCAS_point,2004500,956500,0.9867843278818889,
0000000000000000874a_0,Grassland,5,36963316,1249000,2656000,3142000,1099000,1029000,142,-395,-459,-331,-252,59,766,544,421,589,741,809,551,645,23,636,3115000,732000,LUCAS_point,1992000,865000,0.985455467453439,
0000000000000000875c_0,Grassland,5,37263302,1180000,2666000,3319000,1093000,953000,127,-395,-502,-353,-280,104,744,527,408,641,704,784,640,580,38,641,3140000,634000,LUCAS_point,1914000,881000,0.985244859859303,
000000000000000088ec_0,Grassland,5,36663280,1282500,2566000,3022500,1103500,1010000,102,-432,-489,-388,-364,33,711,487,316,574,654,729,592,515,6,374,2994000,766000,LUCAS_point,2392500,1178500,0.9806699346405229,
0000000000000000891e_0,Grassland,5,37203266,1166500,2292500,2758500,1081000,971500,124,-420,-473,-378,-268,29,760,451,385,532,682,800,561,663,20,455,2850000,762500,LUCAS_point,2048000,954000,0.9799479829822286,
00000000000000008940_0,Grassland,5,37423338,1169500,2618500,3302500,1101500,1047000,132,-386,-447,-349,-245,-12,650,550,431,669,740,815,742,609,14,584,3516500,689000,LUCAS_point,2015000,915000,0.9794904412193274,
00000000000000008943_0,Grassland,5,37063346,1118000,2368000,2918000,1090000,974000,75,-342,-376,-310,-274,-29,656,540,464,582,688,751,574,705,17,502,2954000,714000,LUCAS_point,1805000,875000,0.9794668710056085,
00000000000000008945_0,Grassland,5,36643392,1321500,2581500,3047000,1092000,1063000,160,-385,-443,-341,-257,181,758,447,248,578,723,759,642,439,22,466,2966000,740500,LUCAS_point,2109500,1018500,0.9794526546250684,
0000000000000000895a_0,Grassland,5,37243286,1180000,2920000,3724000,1062000,975000,95,-435,-474,-360,-283,-70,752,673,502,704,736,773,692,647,26,704,3767000,642000,LUCAS_point,2126000,981000,0.9791566631259786,
00000000000000008964_0,Grassland,5,37143328,1289500,2936000,3556000,1107000,1015000,94,-415,-451,-338,-271,-72,774,604,522,647,695,798,653,558,9,623,3430500,696000,LUCAS_point,2039000,968000,0.979040128838516,
000000000000000089f7_0,Grassland,5,36903318,1150000,2405000,2829000,1084000,983000,125,-392,-440,-313,-99,174,727,463,368,583,700,751,637,556,71,479,3284000,716500,LUCAS_point,1845000,838500,0.9775595704400052,
0000000000000000006a_0,Cropland,2,37063230,1149500,1984000,2271500,1242000,1058500,258,-318,-461,-221,-107,70,648,171,74,287,585,746,152,329,49,329,2281500,951500,LUCAS_polygon,1538000,830000,NA,
000000000000000001a5_0,Cropland,2,36903232,1230000,2470000,2925000,1200000,1107000,206,-249,-359,-175,-139,-72,553,261,135,483,596,737,665,196,55,483,2784000,901000,LUCAS_polygon,1558000,808000,NA,
0000000000000000030d_0,Cropland,2,37223256,1477000,2343000,2614500,1202000,1185500,304,-369,-412,-316,-205,-146,152,177,96,319,681,728,711,530,55,181,2655500,1104000,LUCAS_polygon,2337000,1552000,NA,
